id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
1602811,https://github.com/fluent-ffmpeg/node-fluent-ffmpeg,node-fluent-ffmpeg,A fluent API to FFMPEG (http://www.ffmpeg.org),7435,857,1269,761,83,4599,2023-11-13T21:58:56Z,0,,,1,0,1,0
1739767,https://github.com/mozilla/rhino,rhino,Rhino is an open-source implementation of JavaScript written entirely in Java,3944,816,1393,4233,92,9146,2024-05-04T03:59:51Z,0,,,0,0,0,0
1991863,https://github.com/zotero/translators,translators,Zotero Translators,1111,728,3302,6008,219,5725,2024-05-15T15:10:26Z,0,,,2,0,0,0
2055965,https://github.com/swagger-api/swagger-ui,swagger-ui,"Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.",25430,8804,9555,6490,393,4678,2024-05-15T14:14:23Z,0,,,2,0,0,0
2156920,https://github.com/ldapjs/node-ldapjs,node-ldapjs,LDAP Client and Server API for node.js,1546,392,979,820,67,4667,2024-05-14T22:10:45Z,0,,,1,0,0,0
2158019,https://github.com/geoip-lite/node-geoip,node-geoip,"Native NodeJS implementation of MaxMind's GeoIP API -- works in node 0.6.3 and above, ask me about other versions",2276,350,264,264,48,4578,2024-02-15T17:34:30Z,0,,,1,0,0,0
2171254,https://github.com/biwascheme/biwascheme,biwascheme,Scheme interpreter written in JavaScript,722,129,336,1342,37,5655,2024-04-26T08:50:36Z,0,,,1,0,0,0
2536587,https://github.com/Automattic/juice,juice,Juice inlines CSS stylesheets into your HTML source.,3042,216,477,615,66,4442,2023-12-06T06:54:27Z,0,,,1,0,0,0
2631864,https://github.com/onigoetz/Comics-Reader,Comics-Reader,Read your comic book scans on tablet !,33,4,255,408,5,4494,2024-02-11T20:54:06Z,0,,,1,0,0,0
2765899,https://github.com/openpgpjs/openpgpjs,openpgpjs,OpenPGP implementation for JavaScript,5552,786,1552,2313,104,4481,2024-02-19T16:23:54Z,0,,,2,0,0,0
2828239,https://github.com/Jermolene/TiddlyWiki5,TiddlyWiki5,"A self-contained JavaScript wiki for the browser, Node.js, AWS Lambda etc.",7687,1145,7627,11920,246,4558,2024-05-15T11:25:02Z,0,,,1,0,10,0
2871998,https://github.com/debug-js/debug,debug,A tiny JavaScript debugging utility modelled after Node.js core's debugging technique. Works in Node.js and web browsers,10977,898,945,536,103,4205,2023-06-04T11:10:21Z,0,,,1,0,0,0
2967233,https://github.com/DataDog/documentation,documentation,The source for Datadog's documentation site.,408,968,23181,58799,333,4538,2024-05-15T15:13:37Z,0,aws,aws_cloudformation_and_sam,1,0,0,0
3019537,https://github.com/linuxmint/cinnamon,cinnamon,"A Linux desktop featuring a traditional layout, built from modern technology and introducing brand new innovative features. ",4358,718,12015,8649,290,4540,2024-05-15T17:21:36Z,0,,,0,0,0,0
3028364,https://github.com/OpenDSA/OpenDSA,OpenDSA,Working source for the OpenDSA eTextbook project,301,128,591,13520,122,4508,2024-04-24T13:36:31Z,0,,,2,0,0,0
3102131,https://github.com/Heigvd/Wegas,Wegas,A Web Game Authoring System coded in Java and Javascript for rapid development of serious games without programming skills.,28,15,1948,13839,19,4503,2024-05-03T11:49:06Z,0,,,6,0,0,0
3390543,https://github.com/jasondavies/d3-cloud,d3-cloud,Create word clouds in JavaScript.,3763,1075,188,44,4,4414,2024-03-10T21:31:50Z,0,,,1,0,0,0
3476812,https://github.com/eugef/node-mocks-http,node-mocks-http,Mock 'http' objects for testing Express routing functions,739,128,301,503,73,4454,2024-04-29T17:02:11Z,0,,,1,0,0,0
